var_1,var_2,coef,pval
power,House seats,-0.000617228,0.99633107
power,Senate seats,0.111492894,0.40471901
i1,i2,0.864597465,2.23E-18
i1,i3,0.879714665,1.00E-19
i1,i4a,-1,0
i1,i4b,-0.524167075,2.41E-05
i1,i5ap,0.843641639,9.36E-17
i1,i5pr,-0.272915219,0.038196259
i1,i5re,-0.115609379,0.38748285
i1,i5op,-0.693618087,1.58E-09
i1,i5th,-0.510894766,4.17E-05
i1,i5pu,-0.759967152,4.59E-12
i1,p1,0.354339189,0.006353033
i1,p2,0.37946778,0.003305815
i1,p3,0.378972259,0.003350338
i1,p4,-0.404482042,0.001637509
i1,p5,0.256556942,0.051893026
i1,House seats,-0.037862004,0.777811155
i1,Senate seats,0.038137353,0.776237047
i2,i3,0.581822859,1.67E-06
i2,i4a,-0.864597465,2.23E-18
i2,i4b,-0.218562336,0.099294905
i2,i5ap,0.504865744,5.31E-05
i2,i5pr,-0.268740817,0.041369472
i2,i5re,0.323056836,0.013380172
i2,i5op,-0.454820614,0.000334729
i2,i5th,-0.47477008,0.000166221
i2,i5pu,-0.776888144,7.58E-13
i2,p1,0.286876923,0.029010251
i2,p2,0.355650536,0.006147753
i2,p3,0.282603712,0.031601177
i2,p4,-0.528647429,1.99E-05
i2,p5,0.405954456,0.001568503
i2,House seats,0.063613589,0.635213688
i2,Senate seats,0.127907948,0.338642745
i3,i4a,-0.879714665,1.00E-19
i3,i4b,-0.717502086,2.34E-10
i3,i5ap,0.981057714,1.30E-41
i3,i5pr,-0.405607172,0.001584539
i3,i5re,-0.447272935,0.000431471
i3,i5op,-0.56126633,4.58E-06
i3,i5th,-0.536555995,1.41E-05
i3,i5pu,-0.682169459,3.71E-09
i3,p1,0.290585224,0.026908309
i3,p2,0.287698628,0.028533007
i3,p3,0.356951282,0.005949896
i3,p4,-0.347063891,0.007604499
i3,p5,0.202324305,0.127730224
i3,House seats,-0.098241729,0.46314551
i3,Senate seats,-0.002999103,0.982174096
i4a,i4b,0.524167075,2.41E-05
i4a,i5ap,-0.843641639,9.36E-17
i4a,i5pr,0.272915219,0.038196259
i4a,i5re,0.115609379,0.38748285
i4a,i5op,0.693618087,1.58E-09
i4a,i5th,0.510894766,4.17E-05
i4a,i5pu,0.759967152,4.59E-12
i4a,p1,-0.354339189,0.006353033
i4a,p2,-0.37946778,0.003305815
i4a,p3,-0.378972259,0.003350338
i4a,p4,0.404482042,0.001637509
i4a,p5,-0.256556942,0.051893026
i4a,House seats,0.037862004,0.777811155
i4a,Senate seats,-0.038137353,0.776237047
i4b,i5ap,-0.798145083,6.25E-14
i4b,i5pr,-0.080690633,0.547089389
i4b,i5re,0.820694038,3.13E-15
i4b,i5op,0.095812617,0.474330246
i4b,i5th,0.084201862,0.529728627
i4b,i5pu,0.706272715,5.88E-10
i4b,p1,-0.443120022,0.000494929
i4b,p2,-0.389654233,0.002499519
i4b,p3,-0.383950408,0.002926269
i4b,p4,-0.129263515,0.333505681
i4b,p5,0.22762628,0.085714245
i4b,House seats,0.127094652,0.341748405
i4b,Senate seats,0.038298837,0.775314293
i5ap,i5pr,-0.340053175,0.009008612
i5ap,i5re,-0.561404561,4.55E-06
i5ap,i5op,-0.53573756,1.47E-05
i5ap,i5th,-0.448803799,0.000410009
i5ap,i5pu,-0.67971608,4.43E-09
i5ap,p1,0.352061743,0.006723834
i5ap,p2,0.339253231,0.009182312
i5ap,p3,0.371849888,0.004051596
i5ap,p4,-0.217269949,0.101360284
i5ap,p5,0.081206465,0.544521864
